t_s,hora_utc,cpu_atual_pct,cpu_alvo_pct,replicas_desejadas,replicas_atuais,pods_prontos,nodes
451,21:22:07,69,10,5,5,5,1
456,21:22:12,69,10,5,5,5,1
461,21:22:17,69,10,5,5,5,1
467,21:22:23,2,10,5,5,5,1
472,21:22:28,2,10,5,5,5,1
477,21:22:33,2,10,5,5,5,1
482,21:22:38,2,10,5,5,5,1
488,21:22:44,2,10,5,5,5,1
493,21:22:49,2,10,5,5,5,1
498,21:22:54,2,10,5,5,5,1
503,21:22:59,2,10,5,5,5,1
509,21:23:05,2,10,5,5,5,1
514,21:23:10,2,10,5,5,5,1
519,21:23:15,2,10,5,5,5,1
524,21:23:20,2,10,5,5,5,1
530,21:23:26,2,10,5,5,5,1
535,21:23:31,2,10,5,5,5,1
540,21:23:36,2,10,5,5,5,1
545,21:23:41,2,10,5,5,5,1
551,21:23:47,2,10,5,5,5,1
556,21:23:52,2,10,5,5,5,1
561,21:23:57,2,10,5,5,5,1
566,21:24:02,2,10,5,5,5,1
572,21:24:08,2,10,5,5,5,1
577,21:24:13,2,10,5,5,5,1
582,21:24:18,2,10,5,5,5,1
587,21:24:23,2,10,5,5,5,1
593,21:24:29,2,10,5,5,5,1
598,21:24:34,2,10,5,5,5,1
603,21:24:39,2,10,5,5,5,1
608,21:24:44,2,10,5,5,5,1
614,21:24:50,2,10,5,5,5,1
619,21:24:55,2,10,5,5,5,1
624,21:25:00,2,10,5,5,5,1
629,21:25:05,2,10,5,5,5,1
635,21:25:11,2,10,5,5,5,1
640,21:25:16,2,10,5,5,5,1
645,21:25:21,2,10,5,5,5,1
650,21:25:26,2,10,5,5,5,1
656,21:25:32,2,10,5,5,5,1
661,21:25:37,2,10,5,5,5,1
666,21:25:42,2,10,5,5,5,1
671,21:25:47,2,10,5,5,5,1
677,21:25:53,2,10,5,5,5,1
682,21:25:58,2,10,5,5,5,1
687,21:26:03,2,10,5,5,5,1
692,21:26:08,2,10,5,5,5,1
698,21:26:14,2,10,5,5,5,1
703,21:26:19,2,10,5,5,5,1
708,21:26:24,2,10,5,5,5,1
713,21:26:29,2,10,5,5,5,1
719,21:26:35,2,10,5,5,5,1
724,21:26:40,2,10,5,5,5,1
729,21:26:45,2,10,5,5,5,1
734,21:26:50,2,10,5,5,5,1
740,21:26:56,2,10,5,5,5,1
745,21:27:01,2,10,5,5,5,1
750,21:27:06,2,10,5,5,5,1
755,21:27:11,2,10,1,5,5,1
761,21:27:17,2,10,1,5,5,1
766,21:27:22,2,10,1,5,5,1
771,21:27:27,2,10,1,1,5,1
776,21:27:32,2,10,1,1,5,1
